CityKey,CustomerCity,CustomerCountry,CountryKey,Latitude,Longitude
325,Stochov,Czech Republic,8,50.14631,13.96345
326,Charenton-le-Pont,France,4,48.82209,2.41217
327,Horní Lideč,Czech Republic,8,49.18121,18.06099
328,Pilníkov,Czech Republic,8,50.53247,15.8202
329,Köyliö,Finland,13,61.1191,22.30976
330,Buštěhrad,Czech Republic,8,50.15594,14.18897
331,Ágios Spyrídon,Greece,9,40.20778,22.44311
332,Briey,France,4,49.2492,5.93975
333,Issoire,France,4,45.54422,3.24901
334,Évosmos,Greece,9,40.67056,22.90833
335,Ludvika,Sweden,5,60.14959,15.18776
336,Arkhaía Kórinthos,Greece,9,37.90953,22.88353
337,Stavanger,Norway,7,58.97005,5.73332
338,Bodø,Norway,7,67.28,14.40501
339,Skála,Greece,9,36.85,22.66667
340,Skála,Greece,9,37.32218,26.543
341,Dýšina,Czech Republic,8,49.77735,13.4915
342,Marttila,Finland,13,60.58333,22.9
343,Rokytnice nad Jizerou,Czech Republic,8,50.72561,15.43357
344,Oyonnax,France,4,46.25917,5.65727
345,Brive-la-Gaillarde,France,4,45.1589,1.53326
346,Le Teil,France,4,44.54531,4.68223
347,Sali,Croatia,11,43.93972,15.16333
348,Runović,Croatia,11,43.38685,17.23911
349,Chrysó,Greece,9,41.05806,23.65108
350,Emmen,Netherlands,10,52.77917,6.90694
351,Västerås,Sweden,5,59.61617,16.55276
352,Radnice,Czech Republic,8,49.85677,13.6057
353,Montpellier,France,4,43.61093,3.87635
354,Vallentuna,Sweden,5,59.53436,18.07758
355,Antíparos,Greece,9,37.0394,25.08258
356,Jince,Czech Republic,8,49.78624,13.97867
357,Nyköping,Sweden,5,58.753,17.00788
358,Haguenau,France,4,48.81557,7.79051
359,Vallauris,France,4,43.57803,7.05451
360,Forbach,France,4,49.18848,6.89255
361,Ruukki,Finland,13,64.66667,25.1
362,Gaïtánion,Greece,9,37.79134,20.87407
363,Ronneby,Sweden,5,56.20999,15.27602
364,Turku,Finland,13,60.45148,22.26869
365,Dordrecht,Netherlands,10,51.81,4.67361
366,Petrovice u Karviné,Czech Republic,8,49.89587,18.54779
367,Svenljunga,Sweden,5,57.49551,13.11078
368,Mégara,Greece,9,37.99471,23.34324
369,Beverwijk,Netherlands,10,52.48333,4.65694
370,Dobratice,Czech Republic,8,49.66039,18.49226
371,Heemstede,Netherlands,10,52.34992,4.62301
372,Hrochův Týnec,Czech Republic,8,49.95946,15.91054
373,Bonneuil-sur-Marne,France,4,48.7695,2.4793
374,Helsingborg,Sweden,5,56.04673,12.69437
375,Bålsta,Sweden,5,59.5671,17.52781
376,Akademija (Kaunas),Lithuania,12,54.8964,23.82411
377,Nora,Sweden,5,59.51926,15.03979
378,Vingåker,Sweden,5,59.0433,15.87374
379,Alvesta,Sweden,5,56.89935,14.55559
380,Líně,Czech Republic,8,49.69472,13.25693
381,Bergerac,France,4,44.85157,0.48171
382,Katrineholm,Sweden,5,58.99587,16.20721
383,Lestijärvi,Finland,13,63.53333,24.65
384,Gardawice,Poland,6,50.11667,18.8
385,Kozmice,Czech Republic,8,49.9128,18.15584
386,Villejuif,France,4,48.7939,2.35992
387,Quetigny,France,4,47.31667,5.11667
388,Dubiecko,Poland,6,49.82608,22.39117
389,Piła,Poland,6,53.15145,16.73782
390,Leśnica,Poland,6,50.43083,18.18684
391,Leśnica,Poland,6,49.40092,20.06001
392,Strängnäs,Sweden,5,59.37741,17.03119
393,Budapest,Hungary,15,47.49835,19.04045
394,Laagri,Estonia,3,59.35083,24.61418
395,Ratíškovice,Czech Republic,8,48.92002,17.16561
396,Chilly-Mazarin,France,4,48.71489,2.31638
397,Nové Město pod Smrkem,Czech Republic,8,50.92491,15.22943
398,Eindhoven,Netherlands,10,51.44083,5.47778
399,Sevilla,Spain,16,37.38283,-5.97317
400,Orléans,France,4,47.90289,1.90389
401,Strenči,Latvia,18,57.62574,25.68535
402,Quimper,France,4,47.99597,-4.09795
403,Venta,Lithuania,12,56.19162,22.69528
404,Getafe,Spain,16,40.30571,-3.73295
405,Neochóri,Greece,9,39.07025,21.01892
406,Neochóri,Greece,9,41.05231,23.57997
407,Neochóri,Greece,9,41.51131,26.4574
408,Neochóri,Greece,9,37.90794,21.20392
409,Skänninge,Sweden,5,58.39427,15.08659
410,Skänninge,Sweden,5,59.93333,18.48333
411,Psychikó,Greece,9,38.01324,23.77223
412,Storuman,Sweden,5,65.0959,17.11731
413,Vrbovec,Croatia,11,45.88333,16.42167
414,Lipník nad Bečvou,Czech Republic,8,49.52721,17.58594
415,Kelmė,Lithuania,12,55.63009,22.9349
416,Hengelo,Netherlands,10,52.05083,6.30972
417,Hengelo,Netherlands,10,52.26583,6.79306
418,Tabasalu,Estonia,3,59.42607,24.5533
419,Kista,Sweden,5,59.40316,17.94479
420,Perho,Finland,13,63.21667,24.41667
421,Kavallári,Greece,9,40.71539,23.04588
422,Lleida,Spain,16,41.61674,0.62218
423,Wasquehal,France,4,50.67043,3.13382
424,Carregado,Portugal,19,39.02362,-8.97692
425,Santa Cruz do Bispo,Portugal,19,41.21462,-8.67406
426,Morje,Slovenia,14,46.44444,15.62139
427,Kraljevica,Croatia,11,45.27395,14.5683
428,Arles,France,4,42.45654,2.63457
429,Arles,France,4,43.67681,4.63031
430,Vónitsa,Greece,9,38.91639,20.88639
431,Rungis,France,4,48.74607,2.35275
432,Örnsköldsvik,Sweden,5,63.29091,18.71525
433,Evxinoúpolis,Greece,9,39.18414,22.73831
434,Bourg-en-Bresse,France,4,46.20574,5.2258
435,Xilópolis,Greece,9,40.92713,23.17944
436,Grijó,Portugal,19,41.02836,-8.58017
437,Tukums,Latvia,18,56.96764,23.15554
438,Grosuplje,Slovenia,14,45.95556,14.65889
439,Dubá,Czech Republic,8,50.54034,14.54023
440,Girona,Spain,16,41.98311,2.82493
441,Rio Meão,Portugal,19,40.95775,-8.57818
442,Valongo,Portugal,19,41.18883,-8.49857
443,Valongo,Portugal,19,40.61667,-8.45
444,Áyioi Apóstoloi,Greece,9,38.29169,23.91011
445,Tromsø,Norway,7,69.6489,18.95508
446,Rízoma,Greece,9,39.66432,21.73541
447,Hallstahammar,Sweden,5,59.61395,16.22846
448,Kerkrade,Netherlands,10,50.86583,6.0625
449,Hroznětín,Czech Republic,8,50.3094,12.8718
450,Rietavas,Lithuania,12,55.72708,21.92343
451,Chur,Switzerland,20,46.84986,9.53287
452,Albacete,Spain,16,38.99424,-1.85643
453,Vale de Figueira,Portugal,19,39.30569,-8.62876
454,Épinal,France,4,48.18324,6.45304
455,Markaryd,Sweden,5,56.46135,13.59644
456,Orissaare,Estonia,3,58.55917,23.08262
457,Timrå,Sweden,5,62.48654,17.32613
458,Poljčane,Slovenia,14,46.31194,15.57917
459,Liljendal,Finland,13,60.57346,26.05257
460,Ochla,Poland,6,51.87903,15.47132
461,Dubrava,Croatia,11,45.83361,16.06361
462,Dubrava,Croatia,11,45.83777,16.53751
463,Dubrava,Croatia,11,43.735,15.94806
464,Náklo,Czech Republic,8,49.65462,17.12969
465,Golina,Poland,6,52.24315,18.09268
466,Golina,Poland,6,51.91489,17.48268
467,Värnamo,Sweden,5,57.18604,14.04001
468,Madona,Latvia,18,56.85329,26.21698
469,Omišalj,Croatia,11,45.21134,14.55495
470,Skien,Norway,7,59.20962,9.60897
471,Elverum,Norway,7,60.88191,11.56231
472,Blois,France,4,47.59432,1.32912
473,Jelcz,Poland,6,51.02102,17.32095
474,Kyllíni,Greece,9,37.93542,21.14503
475,Fažana,Croatia,11,44.92742,13.80349
476,Lappi,Finland,13,61.1,21.83333
477,Borucin,Poland,6,50.00763,18.15748
478,Lysekil,Sweden,5,58.27429,11.43576
479,Santa Luzia,Portugal,19,37.10224,-7.66202
480,Węgorzyno,Poland,6,53.54101,15.55964
481,Volary,Czech Republic,8,48.90881,13.88657
482,Trelleborg,Sweden,5,55.37514,13.15691
483,Sierakowice,Poland,6,54.3461,17.89252
484,Łęczyce,Poland,6,54.59405,17.85931
485,Gowarczów,Poland,6,51.27845,20.43835
486,Nowosielce-Gniewosz,Poland,6,49.56842,22.06947
487,Néa Sánta,Greece,9,40.84084,22.92163
488,Metlika,Slovenia,14,45.64722,15.31417
489,Kybartai,Lithuania,12,54.63858,22.76316
490,Příbor,Czech Republic,8,49.64094,18.14499
491,Melun,France,4,48.5457,2.65356
492,Brijest,Croatia,11,45.52056,18.67194
493,Hodoš,Slovenia,14,46.82333,16.33417
494,Marianowo,Poland,6,53.38287,15.26645
495,Wojcieszków,Poland,6,51.76922,22.31589
496,Askim,Norway,7,59.58326,11.16286
497,Saint-Grégoire,France,4,48.15101,-1.68579
498,Stanisław Dolny,Poland,6,49.9047,19.65334
499,Ostrožská Lhota,Czech Republic,8,48.97559,17.46751
500,Drawsko Pomorskie,Poland,6,53.53056,15.80967
501,Gąsocin,Poland,6,52.73754,20.7118
502,Vierzon,France,4,47.22186,2.0684
503,Asíni,Greece,9,37.54431,22.86435
504,Mýrina,Greece,9,39.87483,25.06359
505,Kęty,Poland,6,49.88214,19.22333
506,Rokitno,Poland,6,52.12142,23.29514
507,Tupesy,Czech Republic,8,49.08427,17.36983
508,Kranjska Gora,Slovenia,14,46.45689,13.77824
509,La Roche-sur-Yon,France,4,46.66974,-1.42757
510,Kunčice pod Ondřejníkem,Czech Republic,8,49.5507,18.26113
511,Bjuv,Sweden,5,56.08372,12.91914
512,Iłowo -Osada,Poland,6,53.16808,20.29295
513,Degeberga,Sweden,5,55.83333,14.08333
514,Baborów,Poland,6,50.1576,17.98513
515,Dobřany,Czech Republic,8,49.65482,13.29307
516,Plewiska,Poland,6,52.36706,16.80985
517,Saint-Quentin-en-Yvelines,France,4,48.77186,2.01891
518,Klippan,Sweden,5,56.13559,13.13086
519,Lidingö,Sweden,5,59.36667,18.13333
520,Balma,France,4,43.61111,1.49944
521,Milówka,Poland,6,49.5554,19.09072
522,Pokój,Poland,6,50.90265,17.83751
523,Przybyszówka,Poland,6,50.04788,21.92579
524,Lipka,Poland,6,53.49601,17.25085
525,Sunja,Croatia,11,45.3685,16.56702
526,Ljutomer,Slovenia,14,46.52083,16.1975
527,Hämeenkoski,Finland,13,61.02222,25.15417
528,Telč,Czech Republic,8,49.18418,15.45275
529,Loutráki,Greece,9,40.97116,21.94659
530,Loutráki,Greece,9,37.9783,22.97781
531,Särkisalo,Finland,13,60.11389,22.95
532,Januszkowice,Poland,6,50.39189,18.1368
533,Tomelilla,Sweden,5,55.54293,13.9546
534,Pyskowice,Poland,6,50.4,18.63333
535,Kwidzyn,Poland,6,53.72495,18.93114
536,Szczerców,Poland,6,51.33319,19.10977
537,Pasvalys,Lithuania,12,56.06251,24.39965
538,Jagodnjak,Croatia,11,45.69917,18.57694
539,Vlissingen,Netherlands,10,51.4425,3.57361
540,Bromma,Sweden,5,59.34,17.94
541,Saint-Denis,France,4,48.93564,2.35387
542,Kuźnia Raciborska,Poland,6,50.20058,18.31146
543,Jeseník,Czech Republic,8,50.22937,17.20464
544,Jablonec nad Jizerou,Czech Republic,8,50.70347,15.42959
545,Nová Cerekev,Czech Republic,8,49.41723,15.11675
546,Montluçon,France,4,46.34015,2.60254
547,Saint-Marcellin,France,4,45.14914,5.31673
548,Brněnec,Czech Republic,8,49.62735,16.52202
549,Libušín,Czech Republic,8,50.16819,14.05458
550,Baligród,Poland,6,49.3309,22.28566
551,Carcassonne,France,4,43.21649,2.34863
552,Xylókastro,Greece,9,38.07762,22.63166
553,Velké Němčice,Czech Republic,8,48.99168,16.67208
554,Utena,Lithuania,12,55.49764,25.59918
555,Czchów,Poland,6,49.83726,20.68056
556,Figueiró dos Vinhos,Portugal,19,39.90413,-8.27511
557,Bakovci,Slovenia,14,46.61889,16.15028
558,Velké Pavlovice,Czech Republic,8,48.90469,16.81605
559,Zagreb,Croatia,11,45.81444,15.97798
560,Chocz,Poland,6,51.97642,17.86995
561,Amorim,Portugal,19,41.40503,-8.75046
562,Zlín,Czech Republic,8,49.22645,17.67065
563,Hénin-Beaumont,France,4,50.41359,2.96485
564,Södertälje,Sweden,5,59.19554,17.62525
565,Dióni,Greece,9,38.02328,23.93286
566,Forshaga,Sweden,5,59.52541,13.48127
567,Białaczów,Poland,6,51.29815,20.29724
568,Albi,France,4,43.9298,2.148
569,Sandviken,Sweden,5,60.61667,16.76667
570,Mogilany,Poland,6,49.9389,19.88972
571,Dębowiec,Poland,6,49.68374,21.46068
572,Dębowiec,Poland,6,49.81406,18.72062
573,Pantin,France,4,48.89437,2.40935
574,Miřetice,Czech Republic,8,49.84126,15.88472
575,Spétses,Greece,9,37.26191,23.15943
576,Vaxholm,Sweden,5,59.40225,18.35317
577,Chalandrítsa,Greece,9,38.10843,21.78349
578,Moravský Krumlov,Czech Republic,8,49.04893,16.31169
579,Vamvakoú,Greece,9,39.33708,22.41983
580,Velenje,Slovenia,14,46.35917,15.11028
581,Le Havre,France,4,49.49346,0.10785
582,Skála Oropoú,Greece,9,38.31964,23.78763
583,Nedašov,Czech Republic,8,49.10778,18.07036
584,Čížkovice,Czech Republic,8,50.48418,14.02839
585,Tríkala,Greece,9,40.59814,22.55733
586,Tríkala,Greece,9,39.55493,21.76837
587,Semeljci,Croatia,11,45.36056,18.54361
588,Haugesund,Norway,7,59.41378,5.268
589,Alkmaar,Netherlands,10,52.63167,4.74861
590,Glinojeck,Poland,6,52.81983,20.29198
591,Siedleczka,Poland,6,49.96061,22.37949
592,La Valette-du-Var,France,4,43.13763,5.98317
593,Fotolívos,Greece,9,41.06013,24.04724
594,Podwilk,Poland,6,49.5476,19.73874
595,Oxelösund,Sweden,5,58.67057,17.10152
596,Kalej,Poland,6,50.83662,18.98429
597,Stryszów,Poland,6,49.82569,19.61763
598,Novi Zagreb,Croatia,11,45.78333,15.98333
599,Luso,Portugal,19,40.38429,-8.37845
600,Nantes,France,4,47.21725,-1.55336
601,Maszewo Duże,Poland,6,52.58026,19.62905
602,Wiśniewo,Poland,6,53.06474,20.34805
603,Pacov,Czech Republic,8,49.47076,15.00168
604,Kalmar,Sweden,5,56.66157,16.36163
605,Kronoby,Finland,13,63.72859,23.03387
606,Deskáti,Greece,9,39.92422,21.81031
607,Lubowidz,Poland,6,53.11865,19.84594
608,Ceuta,Spain,16,35.88919,-5.32042
609,Stara Kornica,Poland,6,52.18183,22.93752
610,Paderne,Portugal,19,37.17935,-8.2015
611,Fradelos,Portugal,19,41.36846,-8.59887
612,Skövde,Sweden,5,58.39118,13.84506
613,Nieborów,Poland,6,52.07771,20.06902
614,Nowy Dwór Mazowiecki,Poland,6,52.43022,20.71652
615,Aizkraukle,Latvia,18,56.60477,25.25534
616,Hässleholm,Sweden,5,56.15905,13.76638
617,Marathókampos,Greece,9,37.72674,26.68964
618,Nowy Korczyn,Poland,6,50.30124,20.80759
619,Jäppilä,Finland,13,62.37899,27.43372
620,Laliki,Poland,6,49.53446,19.00549
621,Mestre,Italy,21,45.49167,12.24538
622,Uherský Brod,Czech Republic,8,49.02513,17.64715
623,Rumburk,Czech Republic,8,50.95151,14.55699
624,Długosiodło,Poland,6,52.75998,21.59183
625,Monte Redondo,Portugal,19,39.8993,-8.83171
626,Dębno,Poland,6,50.19811,22.51837
627,Dębno,Poland,6,49.96701,20.71979
628,Dębno,Poland,6,52.73901,14.698
629,Sobotín,Czech Republic,8,50.01039,17.09129
630,Beltinci,Slovenia,14,46.60528,16.24056
631,Baška Voda,Croatia,11,43.35694,16.95028
632,Panórama,Greece,9,40.58779,23.0315
633,Krapina,Croatia,11,46.16083,15.87889
634,Głogów Małopolski,Poland,6,50.15122,21.96287
635,Punkaharju,Finland,13,61.75883,29.38843
636,Bludov,Czech Republic,8,49.9408,16.92849
637,Humpolec,Czech Republic,8,49.54152,15.35932
638,Sandnes,Norway,7,58.85244,5.73521
639,Trzebinia,Poland,6,49.65024,19.22264
640,Trzebinia,Poland,6,50.15931,19.46966
641,Eskilstuna,Sweden,5,59.36661,16.5077
642,La Garde,France,4,43.12468,6.01033
643,Alcabideche,Portugal,19,38.73366,-9.40928
